"FileName","FullPath","SizeKB","Reason"
"3BX9PQKE__Diapositiva8.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3BX9PQKE__Diapositiva8.JPG","119.4","Could not parse NFT number from filename"
"3CFHK5I4__Diapositiva77.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3CFHK5I4__Diapositiva77.JPG","75.6","Could not parse NFT number from filename"
"3CNWH8IJ__Diapositiva867.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3CNWH8IJ__Diapositiva867.JPG","122.9","Could not parse NFT number from filename"
"3DF46PPH__Diapositiva754.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3DF46PPH__Diapositiva754.JPG","153.3","Could not parse NFT number from filename"
"3DJEDMD9__Diapositiva8.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3DJEDMD9__Diapositiva8.JPG","126.2","Could not parse NFT number from filename"
"3DTN4T9S__Diapositiva852.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3DTN4T9S__Diapositiva852.JPG","123.1","Could not parse NFT number from filename"
"3EBQLDQ8__Diapositiva24.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3EBQLDQ8__Diapositiva24.JPG","156.4","Could not parse NFT number from filename"
"3EDGPKSJ__Diapositiva986.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3EDGPKSJ__Diapositiva986.JPG","59.8","Could not parse NFT number from filename"
"3EIFC3SV__Diapositiva380.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3EIFC3SV__Diapositiva380.JPG","81.3","Could not parse NFT number from filename"
"3EU2J4GM__Diapositiva4.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3EU2J4GM__Diapositiva4.JPG","152.4","Could not parse NFT number from filename"
"3F3T54WQ__Diapositiva240.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3F3T54WQ__Diapositiva240.JPG","51.1","Could not parse NFT number from filename"
"3F4XB4SM__Diapositiva743.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3F4XB4SM__Diapositiva743.JPG","88.4","Could not parse NFT number from filename"
"3GMQA5KS__Diapositiva251.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3GMQA5KS__Diapositiva251.JPG","116.3","Could not parse NFT number from filename"
"3GPB5VY2__Diapositiva935.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3GPB5VY2__Diapositiva935.JPG","53.6","Could not parse NFT number from filename"
"3GW7EU5S__Diapositiva50.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3GW7EU5S__Diapositiva50.JPG","182.5","Could not parse NFT number from filename"
