"NFTNumber","DisplayTitle","FileName","FullPath","Extension","SizeKB","InExpectedRange"
"30","Light Cult Crypto Club #30","YQUY2JUB__Diapositiva30.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\YQUY2JUB__Diapositiva30.JPG",".JPG","69.1","True"
"31","Light Cult Crypto Club #31","4RLC48SF__Diapositiva31.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\4RLC48SF__Diapositiva31.JPG",".JPG","136.5","True"
"31","Light Cult Crypto Club #31","DGZEY6I6__Diapositiva31.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\DGZEY6I6__Diapositiva31.JPG",".JPG","133","True"
"31","Light Cult Crypto Club #31","MZZNIIRL__Diapositiva31.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\MZZNIIRL__Diapositiva31.JPG",".JPG","91.6","True"
"32","Light Cult Crypto Club #32","J2B2DASR__Diapositiva32.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\J2B2DASR__Diapositiva32.JPG",".JPG","116.3","True"
"32","Light Cult Crypto Club #32","LI2269LC__Diapositiva32.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\LI2269LC__Diapositiva32.JPG",".JPG","131.6","True"
"32","Light Cult Crypto Club #32","Y3IAKM9Z__Diapositiva32.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\Y3IAKM9Z__Diapositiva32.JPG",".JPG","140.6","True"
"33","Light Cult Crypto Club #33","2VFN34TY__Diapositiva33.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2VFN34TY__Diapositiva33.JPG",".JPG","143.4","True"
"33","Light Cult Crypto Club #33","ESYN52MW__Diapositiva33.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\ESYN52MW__Diapositiva33.JPG",".JPG","61.4","True"
"33","Light Cult Crypto Club #33","WI2EGAKU__Diapositiva33.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\WI2EGAKU__Diapositiva33.JPG",".JPG","69.8","True"
"34","Light Cult Crypto Club #34","54C85IH5__Diapositiva34.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\54C85IH5__Diapositiva34.JPG",".JPG","145.6","True"
"34","Light Cult Crypto Club #34","96QJ637V__Diapositiva34.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\96QJ637V__Diapositiva34.JPG",".JPG","56.6","True"
"34","Light Cult Crypto Club #34","YFN8EN4H__Diapositiva34.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\YFN8EN4H__Diapositiva34.JPG",".JPG","76.2","True"
"35","Light Cult Crypto Club #35","ACT86XAB__Diapositiva35.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\ACT86XAB__Diapositiva35.JPG",".JPG","111","True"
"35","Light Cult Crypto Club #35","E6FHIGHE__Diapositiva35.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\E6FHIGHE__Diapositiva35.JPG",".JPG","40","True"
"35","Light Cult Crypto Club #35","EQK7C66D__Diapositiva35.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\EQK7C66D__Diapositiva35.JPG",".JPG","140.6","True"
"36","Light Cult Crypto Club #36","92QMT5VN__Diapositiva36.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\92QMT5VN__Diapositiva36.JPG",".JPG","130.3","True"
"36","Light Cult Crypto Club #36","LMM5PACV__Diapositiva36.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\LMM5PACV__Diapositiva36.JPG",".JPG","146.2","True"
"36","Light Cult Crypto Club #36","ZN7H586R__Diapositiva36.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\ZN7H586R__Diapositiva36.JPG",".JPG","127.1","True"
"37","Light Cult Crypto Club #37","D4YNX543__Diapositiva37.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\D4YNX543__Diapositiva37.JPG",".JPG","59.6","True"
"37","Light Cult Crypto Club #37","M6BJQ2YB__Diapositiva37.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\M6BJQ2YB__Diapositiva37.JPG",".JPG","92.9","True"
"37","Light Cult Crypto Club #37","VZW7I2FG__Diapositiva37.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\VZW7I2FG__Diapositiva37.JPG",".JPG","137.2","True"
"38","Light Cult Crypto Club #38","ELE6FY8I__Diapositiva38.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\ELE6FY8I__Diapositiva38.JPG",".JPG","130.7","True"
"38","Light Cult Crypto Club #38","HEM6NREP__Diapositiva38.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\HEM6NREP__Diapositiva38.JPG",".JPG","88","True"
"38","Light Cult Crypto Club #38","N9BE89JP__Diapositiva38.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\N9BE89JP__Diapositiva38.JPG",".JPG","118.4","True"
"39","Light Cult Crypto Club #39","DEYVQHA4__Diapositiva39.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\DEYVQHA4__Diapositiva39.JPG",".JPG","69","True"
"39","Light Cult Crypto Club #39","VWWAKMY4__Diapositiva39.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\VWWAKMY4__Diapositiva39.JPG",".JPG","62.8","True"
"40","Light Cult Crypto Club #40","P698SC8P__Diapositiva40.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\P698SC8P__Diapositiva40.JPG",".JPG","118.8","True"
"40","Light Cult Crypto Club #40","R43M3SEG__Diapositiva40.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\R43M3SEG__Diapositiva40.JPG",".JPG","121.4","True"
"41","Light Cult Crypto Club #41","A8NVW7GB__Diapositiva41.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\A8NVW7GB__Diapositiva41.JPG",".JPG","110.1","True"
"41","Light Cult Crypto Club #41","C5MJ5J28__Diapositiva41.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\C5MJ5J28__Diapositiva41.JPG",".JPG","67.7","True"
"41","Light Cult Crypto Club #41","XS3TP775__Diapositiva41.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\XS3TP775__Diapositiva41.JPG",".JPG","151.8","True"
"42","Light Cult Crypto Club #42","EVU5JDFY__Diapositiva42.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\EVU5JDFY__Diapositiva42.JPG",".JPG","53.7","True"
"42","Light Cult Crypto Club #42","LU3TTDUX__Diapositiva42.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\LU3TTDUX__Diapositiva42.JPG",".JPG","130.9","True"
"42","Light Cult Crypto Club #42","SYZ4NZ59__Diapositiva42.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\SYZ4NZ59__Diapositiva42.JPG",".JPG","132.3","True"
"43","Light Cult Crypto Club #43","D2QJKD9G__Diapositiva43.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\D2QJKD9G__Diapositiva43.JPG",".JPG","82","True"
"43","Light Cult Crypto Club #43","M7BISTGG__Diapositiva43.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\M7BISTGG__Diapositiva43.JPG",".JPG","88.8","True"
"44","Light Cult Crypto Club #44","FANQ44NR__Diapositiva44.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\FANQ44NR__Diapositiva44.JPG",".JPG","105.6","True"
"44","Light Cult Crypto Club #44","NCT8CTGW__Diapositiva44.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\NCT8CTGW__Diapositiva44.JPG",".JPG","52.4","True"
"44","Light Cult Crypto Club #44","Z8PW62PT__Diapositiva44.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\Z8PW62PT__Diapositiva44.JPG",".JPG","107.3","True"
